Estado ,Municipio ,Colonia 
Puebla,San Andrés Cholula,Arcángeles de Morillotla
Puebla,San Andrés Cholula,Ángeles de Morillotla
Puebla,San Andrés Cholula,Villas Mirage
Puebla,San Andrés Cholula,Arcángeles Xaltepec
Puebla,San Andrés Cholula,San Martinito
Puebla,San Andrés Cholula,Ángeles
Puebla,San Andrés Cholula,Oyametl
Puebla,San Andrés Cholula,Rinconada de la Fortuna
Puebla,San Andrés Cholula,San Martinito
Puebla,San Andrés Cholula,La Viga
Puebla,San Andrés Cholula,Villa Floresta
Puebla,San Andrés Cholula,Paseos de San Andrés
Puebla,San Andrés Cholula,El Molinito
Puebla,San Andrés Cholula,Misión de San Martinito
Puebla,San Andrés Cholula,Villas Orión II
Puebla,San Andrés Cholula,Paseos del Ángel
Puebla,San Andrés Cholula,Atlixcayotl 2000
Puebla,San Andrés Cholula,Molino Viejo
Puebla,San Andrés Cholula,Las Mercedes
Puebla,San Andrés Cholula,Mayaquen
Puebla,San Andrés Cholula,Santa Fe
Puebla,San Andrés Cholula,Orión
Puebla,San Andrés Cholula,Villas Orión
Puebla,San Andrés Cholula,Lyra
Puebla,San Andrés Cholula,Ex-Hacienda Cortijo de San Martinito
Puebla,San Andrés Cholula,Rincón de Ángeles
Puebla,San Andrés Cholula,Villa de los Ángeles II
Puebla,San Andrés Cholula,Gobernadores
Puebla,San Andrés Cholula,Magisterio 2000 II
Puebla,San Andrés Cholula,Real de Santa Clara I
Puebla,San Andrés Cholula,Real de Santa Clara II
Puebla,San Andrés Cholula,La Fortuna
Puebla,San Andrés Cholula,Mira
Puebla,San Andrés Cholula,Villa de los Angeles I
Puebla,San Andrés Cholula,Las Animas
Puebla,San Andrés Cholula,Ex-Hacienda Concepción Morillotla
Puebla,San Andrés Cholula,Geovillas Santa Clara Sección I y II
Puebla,San Andrés Cholula,Parque Victoria
Puebla,San Andrés Cholula,Vista Marques
Puebla,San Andrés Cholula,Parque Terranova
Puebla,San Andrés Cholula,Parque de la Castellana
Puebla,San Andrés Cholula,Parque de la Plata
Puebla,San Andrés Cholula,Parque el Nilo
Puebla,San Andrés Cholula,Puebla Blanca
Puebla,San Andrés Cholula,El Deseo
Puebla,San Andrés Cholula,Parque el Cairo
Puebla,San Andrés Cholula,Parque Veneto
Puebla,San Andrés Cholula,San Luis
Puebla,San Andrés Cholula,San Miguel
Puebla,San Andrés Cholula,Xicotzingo
Puebla,San Andrés Cholula,San Antonio Cacalotepec
Puebla,San Andrés Cholula,San Diego
Puebla,San Andrés Cholula,Galeotitla
Puebla,San Andrés Cholula,San Juan
Puebla,San Andrés Cholula,Santa María Acuyah 1
Puebla,San Andrés Cholula,Vista Real del Sur
Puebla,San Andrés Cholula,El Secreto
Puebla,San Andrés Cholula,Lomas de Angelópolis
Puebla,San Andrés Cholula,La Vista Contry Club
Puebla,San Andrés Cholula,Lomas de Angelópolis II
Puebla,San Andrés Cholula,Lomas de Angelópolis Privanza
Puebla,San Andrés Cholula,Valle Real
Puebla,San Andrés Cholula,Rincón de los Reyes
Puebla,San Andrés Cholula,Alta Vista
Puebla,San Andrés Cholula,Vista Real
Puebla,San Andrés Cholula,Puerta San Rafael
Puebla,San Andrés Cholula,San Rafael Comac
Puebla,San Andrés Cholula,Santa María Tonantzintla
Puebla,San Andrés Cholula,San Isidro
Puebla,San Andrés Cholula,La Candelaria
Puebla,San Andrés Cholula,La Purísima
Puebla,San Andrés Cholula,La Misión
Puebla,San Andrés Cholula,San Miguel
Puebla,San Andrés Cholula,San Diego
Puebla,San Andrés Cholula,Santiago
Puebla,San Andrés Cholula,Santa Maria Acuyah
Puebla,San Andrés Cholula,San Francisco Acatepec
Puebla,San Andrés Cholula,La Candelaria
Puebla,San Andrés Cholula,La Purísima
Puebla,San Andrés Cholula,San Pedro
Puebla,San Andrés Cholula,Texcoco
Puebla,San Andrés Cholula,Saltepehz
Puebla,San Andrés Cholula,San Luis Tehuiloyocan
Puebla,San Andrés Cholula,Eccehomo
Puebla,San Andrés Cholula,De Jesús
Puebla,San Andrés Cholula,San Salvador
Puebla,San Andrés Cholula,Santo Entierro
Puebla,Ocoyucan,Francisco Sarabia
Puebla,Ocoyucan,Santa Clara Ocoyucan
Puebla,Ocoyucan,San Bernardino Chalchihuapan
Puebla,Ocoyucan,Santa María Malacatepec
Puebla,Ocoyucan,San Bernabe Temoxtitla
Puebla,Ocoyucan,Emilio Portes Gil
Puebla,Ocoyucan,Santiago Coltzingo
Puebla,Ocoyucan,Santa Martha Hidalgo
Puebla,Ocoyucan,La Pastoría
Puebla,Puebla,San Miguel Canoa
Puebla,Puebla,San Miguel Espejo
Puebla,Puebla,San Pedro Zacachimalpa
Puebla,Puebla,Oasis Valsequillo
Puebla,Puebla,La Tepesilera (Quinta María Isabel)
Puebla,Puebla,Ladera del Coral
Puebla,Puebla,San Juan Soto
Puebla,Puebla,Los Cantiles
Puebla,Puebla,San Andrés Azumiatla
Puebla,Puebla,Los Ángeles Tetela
Puebla,Puebla,Toluquilla
Puebla,Puebla,Tacumatla
Puebla,Puebla,San Baltazar Tetela
Puebla,Puebla,Santa María de Guadalupe Tecola
Puebla,Puebla,Santa Cruz Ixtla
Puebla,Puebla,Santa Cruz Ixtla Sur
Puebla,Puebla,Xacxamayo
Puebla,Puebla,San Buenavista Tetela
Puebla,Puebla,San José Xaxamayo
Puebla,Puebla,La Paz Tlaxcolpan
Puebla,Puebla,San José del Rincón
Puebla,Puebla,Libertad Tecola
Puebla,Puebla,San José el Aguacate
Puebla,Puebla,Santa María Tzocuilac la Cantera
Puebla,Amozoc,Santo Ángel
Puebla,Amozoc,San José de las Flores
Puebla,Amozoc,De Santiago
Puebla,Amozoc,Las Cruces
Puebla,Amozoc,La Cruz
Puebla,Amozoc,San Miguel Cuautenco
Puebla,Amozoc,La Cruz II
Puebla,Amozoc,Vallarta
Puebla,Amozoc,Concepción Capulac
Puebla,Amozoc,20 de Noviembre
Puebla,Amozoc,San Andrés las Vegas
Puebla,Amozoc,Pinos del Sur
Puebla,Amozoc,La Victoria
Puebla,Amozoc,Villas Amozoc
Puebla,Amozoc,San Matias Buenavista
Puebla,Amozoc,El Carmen
Puebla,Amozoc,San Juan de los Lagos
Puebla,Amozoc,Los Duraznos
Puebla,Amozoc,Vallartito
Puebla,Amozoc,San José Victoria
Puebla,Amozoc,Las Animas
Puebla,Amozoc,Jardines de Amozoc
Puebla,Amozoc,Amozoc Centro
Puebla,Amozoc,San Antonio
Puebla,Amozoc,San José la Laguna
Puebla,Amozoc,San Miguel Cuautenco
Puebla,Amozoc,Rinconada de San Matias
Puebla,Amozoc,San José de los Encinos
Puebla,Amozoc,Sagrada Familia
Puebla,Amozoc,Mi Hogar la Asunción
Puebla,Amozoc,San Nicolás
Puebla,Amozoc,Los Álamos
Puebla,Amozoc,La Cantera
Puebla,Amozoc,Benito Juárez
Puebla,Amozoc,Los Pinos
Puebla,Amozoc,Maestro Samuel Joaquín Flores
Puebla,Amozoc,La Venta
Puebla,Amozoc,Concepción Capulac
Puebla,Amozoc,Ignacio Zaragoza
Puebla,Amozoc,San Mateo
Puebla,Amozoc,José Lino Miguel López de la Rosa
Puebla,Amozoc,Ex-Hacienda de Cocepción Capulac
Puebla,Amozoc,San Jacinto
Puebla,Amozoc,El Esfuerzo
Puebla,Amozoc,San José de los Ángeles Kilómetro 22
Puebla,Amozoc,San Salvador Tepalcayuca
Puebla,Amozoc,La Laguna
Puebla,Amozoc,La Poza
Puebla,Amozoc,San Nicolás
Puebla,Amozoc,La Ocotera
Puebla,Amozoc,El Tepeyac
Puebla,Amozoc,Guadalupe Victoria (Guadalupe del Moral)
Puebla,Amozoc,Campestre Haras
Puebla,Amozoc,Ampliación San Lorenzo
Puebla,Amozoc,Chachapa
Puebla,Amozoc,SIGNORET
Puebla,Amozoc,San Mateo Mendizábal
Puebla,Amozoc,San Juan 3a. Sección
Puebla,Amozoc,Arenal
Puebla,Amozoc,Linda Vista
Puebla,Amozoc,San Pedro
Puebla,Amozoc,Guadalupe
Puebla,Amozoc,San Martín
Puebla,Amozoc,Agua Santa
Puebla,Amozoc,21 de Marzo
Puebla,Amozoc,San Juan
Puebla,Amozoc,El Naranjo
Puebla,Amozoc,Azteca
Puebla,Amozoc,San Lorenzo
Puebla,Amozoc,Arboledas de San Lorenzo
Puebla,Amozoc,Bugambilias
Puebla,Amozoc,San Diego Icatepec 3a. Sección
Puebla,Amozoc,La Presa
Puebla,Amozoc,San Diego Icatepec 1a. Sección
Puebla,Amozoc,Colosio
Puebla,Amozoc,Santa Cruz Xonacatepec
Puebla,Amozoc,San Diego Icatepec 2a. Sección
Puebla,Amozoc,INFONAVIT Colosio
Puebla,Amozoc,La Cruz
Puebla,Amozoc,San Diego Icatepec 4a. Sección
Puebla,Amozoc,Artículo 123
Puebla,Amozoc,Casa Blanca
Puebla,Amozoc,Bosque de Cuauhyocan
Puebla,Amozoc,San Bartolo Flor del Bosque
Puebla,Amozoc,Flor del Bosque
Puebla,Amozoc,San Ángel
Puebla,Amozoc,Rincón de los Encinos
Puebla,Amozoc,Agua Santa II
Puebla,Francisco Z. Mena,Moctezuma
Puebla,Francisco Z. Mena,Metlaltoyuca
Puebla,Francisco Z. Mena,Huitzilac
Puebla,Francisco Z. Mena,Cerco de Piedra
Puebla,Francisco Z. Mena,Salsipuedes
Puebla,Francisco Z. Mena,La Pahua
Puebla,Francisco Z. Mena,Los Naranjos
Puebla,Francisco Z. Mena,Jaltocan
Puebla,Francisco Z. Mena,Coyolito (El Coyol)
Puebla,Francisco Z. Mena,Benito Juárez
Puebla,Francisco Z. Mena,Palma Real de Adentro
Puebla,Francisco Z. Mena,Plan de Arroyo
Puebla,Francisco Z. Mena,Paso del Arroyo
Puebla,Francisco Z. Mena,La Guadalupe
Puebla,Francisco Z. Mena,Las Balsas
Puebla,Francisco Z. Mena,El Tecomate
Puebla,Francisco Z. Mena,Cerro Altamirano
Puebla,Pantepec,Pantepec
Puebla,Pantepec,Progreso de Allende
Puebla,Pantepec,Las Palmas
Puebla,Pantepec,Cañada de Colotla
Puebla,Pantepec,Ejido Cañada Colotla
Puebla,Pantepec,Buena Vista
Puebla,Pantepec,Ixtololoya
Puebla,Pantepec,El Terrero
Puebla,Pantepec,El Pozo
Puebla,Pantepec,La Ceiba Chica
Puebla,Pantepec,El Pacífico
Puebla,Pantepec,Ignacio Zaragoza
Puebla,Pantepec,Agua Linda
Puebla,Pantepec,Ameluca
Puebla,Pantepec,Mecapalapa
Puebla,Venustiano Carranza,Coronel Tito Hernández
Puebla,Venustiano Carranza,El Encinal
Puebla,Venustiano Carranza,Zanatepec
Puebla,Venustiano Carranza,Tumbadero Escobal
Puebla,Venustiano Carranza,San Rafael
Puebla,Venustiano Carranza,Venustiano Carranza
Puebla,Venustiano Carranza,El Ojite
Puebla,Venustiano Carranza,Pueblo Viejo San José
Puebla,Venustiano Carranza,Nuevo Cabellal
Puebla,Venustiano Carranza,San José
Puebla,Venustiano Carranza,Linderos
Puebla,Venustiano Carranza,Gral. Ignacio Zaragoza
Puebla,Venustiano Carranza,San Bartolo del Escobal
Puebla,Venustiano Carranza,Estrella Roja
Puebla,Venustiano Carranza,Vicente Guerrero
Puebla,Venustiano Carranza,San Diego
Puebla,Venustiano Carranza,La Libertad
Puebla,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno)
Puebla,Jalpan,Apapantilla
Puebla,Jalpan,Jalpan
Puebla,Jalpan,Acoyotitla
Puebla,Jalpan,El Pochote
Puebla,Jalpan,La Gloria
Puebla,Jalpan,El Piñal
Puebla,Jalpan,Benito Juárez
Puebla,Jalpan,América
Puebla,Jalpan,Agua Linda
Puebla,Jalpan,El Progreso
Puebla,Jalpan,Vista Hermosa
Puebla,Jalpan,Jalpan
Puebla,Jalpan,La Garza
Puebla,Jalpan,Emiliano Zapata
Puebla,Jalpan,Techalotla
Puebla,Jalpan,Nuevo Zoquiapan
Puebla,Jalpan,Piedras Negras
Puebla,Tlaxco,Tlaxco
Puebla,Tlaxco,Acalman
Puebla,Tlaxco,La Candelaria
Puebla,Tlaxco,Buenavista
Puebla,Tlaxco,Cerro Pelón
Puebla,Tlaxco,Atlalpan
Puebla,Tlaxco,El Álamo
Puebla,Tlaxco,Cuaxtla
Puebla,Tlacuilotepec,Tlacuilotepec
Puebla,Tlacuilotepec,Cuautepec
Puebla,Tlacuilotepec,Santa María
Puebla,Tlacuilotepec,El Zacatal
Puebla,Tlacuilotepec,San Pedro Petlacotla
Puebla,Tlacuilotepec,La Campana
Puebla,Tlacuilotepec,San Antonio
Puebla,Tlacuilotepec,Papaloctipan
Puebla,Tlacuilotepec,Plan de Ayala
Puebla,Tlacuilotepec,Tliltepec
Puebla,Tlacuilotepec,El Rincón
Puebla,Tlacuilotepec,San Juan Tihuacán
Puebla,Tlacuilotepec,Itzalan
Puebla,Tlacuilotepec,Tacubaya
Puebla,Tlacuilotepec,Teteloloya
Puebla,Tlacuilotepec,Palo Blanco
Puebla,Tlacuilotepec,Tlapehualita
Puebla,Tlacuilotepec,El Jericó
Puebla,Tlacuilotepec,El Muñeco
Puebla,Tlacuilotepec,La Cuerva
Puebla,Xicotepec,San Isidro
Puebla,Xicotepec,Lomas Verdes
Puebla,Xicotepec,El Tabacal
Puebla,Xicotepec,Duraznotla
Puebla,Xicotepec,Xicotepec de Juárez Centro
Puebla,Xicotepec,La Rivera
Puebla,Xicotepec,Azaleas
Puebla,Xicotepec,La Chivería
Puebla,Xicotepec,Ganadera
Puebla,Xicotepec,San Agustín Atlihuácan
Puebla,Xicotepec,Tlapehuala
Puebla,Xicotepec,Atequexquitla
Puebla,Xicotepec,San Pedro Ixtla
Puebla,Xicotepec,Villa Avila Camacho (La Ceiba)
Puebla,Xicotepec,El Tepetate
Puebla,Xicotepec,Gilberto Camacho
Puebla,Xicotepec,Jalapilla
Puebla,Xicotepec,Tulancinguillo
Puebla,Xicotepec,El Porvenir
Puebla,Xicotepec,Santa Rita
Puebla,Xicotepec,San Lorenzo y la Joya
Puebla,Xicotepec,Tlaxcalantongo
Puebla,Xicotepec,Tepapatlaxco
Puebla,Xicotepec,Las Pilas
Puebla,Xicotepec,Rancho Nuevo
Puebla,Xicotepec,Nactanca Chica (La Colonia)
Puebla,Xicotepec,Los Limones
Puebla,Pahuatlán,Xolotla
Puebla,Pahuatlán,Ciudad de Pahuatlán de Valle
Puebla,Pahuatlán,Atla
Puebla,Pahuatlán,Xilepa
Puebla,Pahuatlán,Ahila
Puebla,Pahuatlán,San Pablito
Puebla,Pahuatlán,Zoyatla de Guerrero
Puebla,Pahuatlán,Tlalcruz de Libres
Puebla,Pahuatlán,Montellano
Puebla,Pahuatlán,Acalapa
Puebla,Pahuatlán,Ahuacatitla
Puebla,Pahuatlán,Atlantongo
Puebla,Pahuatlán,Cuauneutla de la Paz
Puebla,Pahuatlán,Paciotla
Puebla,Honey,Tonalixco
Puebla,Honey,La Magdalena
Puebla,Honey,Honey
Puebla,Honey,Buenavista
Puebla,Honey,Amapoloa
Puebla,Honey,Chila
Puebla,Honey,El Manzano
Puebla,Honey,Huehuetlilla
Puebla,Honey,La Esperanza
Puebla,Honey,Las Cumbres del Manzano
Puebla,Naupan,Chachahuantla
Puebla,Naupan,Copila
Puebla,Naupan,Iczotitla
Puebla,Naupan,Naupan
Puebla,Naupan,Tlaxpanaloya
Puebla,Naupan,Mextla
Puebla,Naupan,Cueyatla
Puebla,Naupan,Tenextitla
Puebla,Naupan,Cuahuihuizotitla
Puebla,Huauchinango,Xaltepec
Puebla,Huauchinango,Papatlazolco
Puebla,Huauchinango,Tlalmaya
Puebla,Huauchinango,Las Colonias de Hidalgo
Puebla,Huauchinango,Tenango de las Flores
Puebla,Huauchinango,Ozomatlán
Puebla,Huauchinango,Tepetzintla de Galeana
Puebla,Huauchinango,Cuahueyatla
Puebla,Huauchinango,Ayohuixcuautla
Puebla,Huauchinango,Cuauxinca
Puebla,Huauchinango,Huilacapixtla
Puebla,Huauchinango,Alseseca
Puebla,Huauchinango,Matlaluca
Puebla,Huauchinango,Cuaxicala
Puebla,Huauchinango,San Miguel Acuautla
Puebla,Huauchinango,Michiuca
Puebla,Huauchinango,Patoltecoya
Puebla,Huauchinango,Totolapa
Puebla,Huauchinango,Tlacomulco
Puebla,Huauchinango,Puga
Puebla,Huauchinango,Venta Chica
Puebla,Huauchinango,Mesa de Capulines
Puebla,Huauchinango,El Mirador
Puebla,Huauchinango,Venta Grande
Puebla,Huauchinango,Ocpaco
Puebla,Huauchinango,Ahuacatlán
Puebla,Huauchinango,Ixhuacatla
Puebla,Huauchinango,Xilocuautla
Puebla,Huauchinango,Xopanapa
Puebla,Huauchinango,Chicuase
Puebla,Huauchinango,Teopancingo
Puebla,Huauchinango,Huauchinango Centro
Puebla,Huauchinango,Independencia
Puebla,Huauchinango,Morelos
Puebla,Huauchinango,El Ocote
Puebla,Huauchinango,La Petrolera
Puebla,Huauchinango,Agua Blanca
Puebla,Huauchinango,Texcapa
Puebla,Huauchinango,Santa Dora
Puebla,Huauchinango,El Derrumbe
Puebla,Huauchinango,El Cerrito
Puebla,Huauchinango,Los Pinos
Puebla,Huauchinango,Damnificados
Puebla,Huauchinango,Guadalupe
Puebla,Huauchinango,La Cumbre
Puebla,Huauchinango,5 de Octubre
Puebla,Huauchinango,Lomas de Chapultepec
Puebla,Huauchinango,Cuacuila
Puebla,Huauchinango,Los Capulines
Puebla,Huauchinango,Chapultepec
Puebla,Huauchinango,Linda Vista
Puebla,Huauchinango,La Aurora
Puebla,Huauchinango,El Mirador I
Puebla,Huauchinango,Santiago
Puebla,Huauchinango,La Mesita
Puebla,Huauchinango,La Partada
Puebla,Huauchinango,Nuevo Milenio
Puebla,Huauchinango,Piedras Pintadas
Puebla,Huauchinango,La Joya
Puebla,Huauchinango,Lomas de Bellavista
Puebla,Huauchinango,El Ocotal
Puebla,Huauchinango,Bellavista
Puebla,Huauchinango,La Herradura
Puebla,Huauchinango,Antonio Amador Quintero
Puebla,Huauchinango,San Ángel
Puebla,Huauchinango,Río Chiquito
Puebla,Huauchinango,El Llano
Puebla,Huauchinango,Hortalizas
Puebla,Huauchinango,Monterrey
Puebla,Huauchinango,Adolfo López Mateos
Puebla,Huauchinango,Cruz Blanca
Puebla,Huauchinango,Ruiz Cortines
Puebla,Huauchinango,El Mirador II
Puebla,Huauchinango,14 de Octubre
Puebla,Huauchinango,Ahuacatitla
Puebla,Huauchinango,Huauchinango
Puebla,Huauchinango,Francisco Villa
Puebla,Huauchinango,Proyecto 2000
Puebla,Huauchinango,Santa Catarina
Puebla,Huauchinango,Cruz del Milagro
Puebla,Huauchinango,Constitución
Puebla,Huauchinango,Santa Cruz
Puebla,Huauchinango,La Morena
Puebla,Huauchinango,Valles del Rincón
Puebla,Huauchinango,Insurgentes
Puebla,Huauchinango,Cruz del Milagro
Puebla,Huauchinango,Libertad
Puebla,Huauchinango,El Paraíso
Puebla,Huauchinango,La Estrella
Puebla,Huauchinango,El Ahuacatal
Puebla,Huauchinango,El Potro
Puebla,Huauchinango,Rincón de la Cruz
Puebla,Huauchinango,Catalina
Puebla,Huauchinango,Sección 39
Puebla,Huauchinango,Las Flores
Puebla,Huauchinango,Atzopic
Puebla,Huauchinango,INFONAVIT Zacamila
Puebla,Huauchinango,Luis Donaldo Colosio
Puebla,Huauchinango,FOVISSSTE
Puebla,Huauchinango,Electricista
Puebla,Huauchinango,La Villa
Puebla,Huauchinango,Carmen Serdán
Puebla,Huauchinango,Lomas de Zacamila
Puebla,Huauchinango,FSTSE
Puebla,Huauchinango,Valle Fénix
Puebla,Huauchinango,Rancho Viejo
Puebla,Huauchinango,Emiliano Zapata
Puebla,Huauchinango,Tlalcoyunga
Puebla,Huauchinango,Miguel Hidalgo
Puebla,Huauchinango,Vima
Puebla,Huauchinango,Benito Juárez
Puebla,Huauchinango,La Palpa
Puebla,Huauchinango,Lomas del Bosque
Puebla,Huauchinango,Quetzalcoatl
Puebla,Huauchinango,Zacamila
Puebla,Huauchinango,Los Ángeles
Puebla,Ahuazotepec,Ahuazotepec
Puebla,Ahuazotepec,Segunda Sección
Puebla,Ahuazotepec,Ahuazotepec
Puebla,Ahuazotepec,Ahuacatla
Puebla,Ahuazotepec,Beristain
Puebla,Ahuazotepec,Laguna Seca
Puebla,Ahuazotepec,Tejamaniles
Puebla,Ahuazotepec,Buenavista
Puebla,Juan Galindo,Nuevo Necaxa
Puebla,Juan Galindo,El Naranjal
Puebla,Juan Galindo,Morelos
Puebla,Juan Galindo,Juárez
Puebla,Juan Galindo,PEMEX
Puebla,Juan Galindo,Hidalgo
Puebla,Juan Galindo,Agua Azul
Puebla,Juan Galindo,Los Alpes
Puebla,Juan Galindo,Nezoaya
Puebla,Juan Galindo,Necaxaltépetl
Puebla,Juan Galindo,Dos Caminos
Puebla,Juan Galindo,La Mesa
Puebla,Juan Galindo,Azteca
Puebla,Juan Galindo,Loma Bonita
Puebla,Juan Galindo,El Salto
Puebla,Juan Galindo,Salto Chico
Puebla,Juan Galindo,Cuautlita (El Gamito)
Puebla,Tlaola,Tlaola
Puebla,Tlaola,Xochinanacatlán
Puebla,Tlaola,Xaltepuxtla
Puebla,Tlaola,Tlaltepango
Puebla,Tlaola,Chicahuaxtla
Puebla,Tlaola,Caxapotla
Puebla,Tlaola,Amacugtla
Puebla,Tlaola,Nixcugtla
Puebla,Tlaola,Tlaticoxca
Puebla,Tlaola,Ayahualco
Puebla,Tlaola,Coligque
Puebla,Tlaola,Coxolitla
Puebla,Tlaola,Tlacocugtla
Puebla,Tlaola,Nuevo Hidalgo
Puebla,Tlaola,Tlapitzalapa
Puebla,Tlaola,Amanalco
Puebla,Tlaola,Cocolongo
Puebla,Tlaola,Santa Cruz
Puebla,Tlaola,Cugtzonticpa
Puebla,Tlaola,Tlaltentiloya
Puebla,Tlaola,Yetla
Puebla,Tlaola,Tlatlapanala
Puebla,Tlaola,Nexapa Ahila
Puebla,Tlaola,La Gallera
Puebla,Tlaola,La Herradura
Puebla,Tlaola,Atenco
Puebla,Tlaola,Salazar Herrera
Puebla,Tlaola,Ocoxocotla
Puebla,Tlaola,Atitlalaya
Puebla,Tlaola,Capultitla
Puebla,Tlaola,Cocolixtla
Puebla,Tlaola,Huixtla
Puebla,Tlaola,San José
Puebla,Tlaola,Atequexquitla
Puebla,Tlaola,Plan de Cuamila
Puebla,Tlaola,Cuamila
Puebla,Tlaola,Tlatzohuiloya
Puebla,Tlaola,San Isidro Acatlán
Puebla,Tlaola,Tzitzicazapa
Puebla,Zihuateutla,Cerro Verde
Puebla,Zihuateutla,La Unión
Puebla,Zihuateutla,Zihuateutla
Puebla,Zihuateutla,El Rincón
Puebla,Zihuateutla,Las Margaritas
Puebla,Zihuateutla,La Tranca de Fierro
Puebla,Zihuateutla,El Carmen
Puebla,Zihuateutla,Cre-Leg
Puebla,Zihuateutla,La Virgen
Puebla,Zihuateutla,El Limonar
Puebla,Zihuateutla,La Providencia
Puebla,Zihuateutla,El Cerro
Puebla,Zihuateutla,El Cafetín
Puebla,Zihuateutla,El Progreso Chico
Puebla,Zihuateutla,Loma Bonita
Puebla,Zihuateutla,Sanabu
Puebla,Zihuateutla,El Recuerdo
Puebla,Zihuateutla,La Chiquita
Puebla,Zihuateutla,El Plantel
Puebla,Zihuateutla,Susy
Puebla,Zihuateutla,El Progreso Grande
Puebla,Zihuateutla,Ocomantla
Puebla,Zihuateutla,Cuatechalotla
Puebla,Zihuateutla,Tecpatlán
Puebla,Zihuateutla,Cacahuatlán
Puebla,Zihuateutla,Los Tulipanes
Puebla,Zihuateutla,Las Chachitas
Puebla,Zihuateutla,Grano de Oro
Puebla,Zihuateutla,Las Margaritas
Puebla,Zihuateutla,Santa Alicia
Puebla,Zihuateutla,Los Pinos
Puebla,Zihuateutla,El Dorado
Puebla,Zihuateutla,Loma Bonita
Puebla,Zihuateutla,San Nicolás
Puebla,Zihuateutla,Los Manguitos
Puebla,Zihuateutla,Puebla
Puebla,Zihuateutla,La Laguna
Puebla,Zihuateutla,Ejido Tenanguito
Puebla,Zihuateutla,Arroyo Mano
Puebla,Zihuateutla,Cerro Azul
Puebla,Zihuateutla,Ernesto Hernández
Puebla,Zihuateutla,Cuaunepixca
Puebla,Zihuateutla,Cuaunepixca (La Cumbre)
Puebla,Zihuateutla,Tenanguito
Puebla,Zihuateutla,El Rosario (Anayal)
Puebla,Zihuateutla,La Planada
Puebla,Zihuateutla,Carmen (Finca el Matadero)
Puebla,Zihuateutla,El Porvenir
Puebla,Zihuateutla,Azcatlán
Puebla,Zihuateutla,Nanacatepec
Puebla,Zihuateutla,La Florida
Puebla,Zihuateutla,El Milagro
Puebla,Zihuateutla,La Orquídea
Puebla,Zihuateutla,La Trinidad
Puebla,Zihuateutla,La Mesa del Crucero (La Mesita)
Puebla,Zihuateutla,El Rinconcito
Puebla,Zihuateutla,Nueva
Puebla,Zihuateutla,Mazacoatlán
Puebla,Zihuateutla,Lagunillas
Puebla,Zihuateutla,Arroyo Seco
Puebla,Zihuateutla,Los Pinos
Puebla,Zihuateutla,Telolotla
Puebla,Jopala,Buenos Aires
Puebla,Jopala,Jopala
Puebla,Jopala,Sataskauat
Puebla,Jopala,Izquimpan
Puebla,Jopala,Bugambilias (La Cruz)
Puebla,Jopala,El Guayabo
Puebla,Jopala,Plan Chico
Puebla,Jopala,Chicontla
Puebla,Jopala,Patla
Puebla,Jopala,Tlaolantongo
Puebla,Jopala,Cuamaxalco
Puebla,Jopala,La Cumbre (De Chicontla)
Puebla,Jopala,San Martín
Puebla,Jopala,Rancho Nuevo
Puebla,Jopala,Pilar II
Puebla,Jopala,San Francisco
Puebla,Jopala,Arroyo Hondo
Puebla,Jopala,El Encinal
Puebla,Jopala,La Concha
Puebla,Jopala,Oro Verde (Monte de Chila)
Puebla,Jopala,Tambortitla
Puebla,Jopala,Ocopetatal
Puebla,Jopala,Tecuantla (Los Reyes)
Puebla,Jopala,Chicontla
Puebla,Jopala,Cinco de Octubre
Puebla,Tlapacoya,Tlapacoya
Puebla,Tlapacoya,San Miguel Tilapa
Puebla,Tlapacoya,Ahuacatlaya
Puebla,Tlapacoya,San Antonio Tlilapa
Puebla,Tlapacoya,Tlamaya Grande
Puebla,Tlapacoya,Barrio los Vázquez
Puebla,Tlapacoya,San Andrés Buenavista
Puebla,Tlapacoya,Benito Juárez (Xicalango)
Puebla,Tlapacoya,Los Vázquez
Puebla,Tlapacoya,La Palma
Puebla,Tlapacoya,Zintlapal
Puebla,Tlapacoya,Tlamaya Chico
Puebla,Tlapacoya,La Cruz
Puebla,Tlapacoya,Cuatepalcatla
Puebla,Tlapacoya,La Gruta
Puebla,Tlapacoya,La Cumbre
Puebla,Tlapacoya,Zoquiapa
Puebla,Tlapacoya,Xochicugtla (Barrio los Cortés)
Puebla,Chignahuapan,Acolihua
Puebla,Chignahuapan,Sebastopol y Anexa
Puebla,Chignahuapan,Ixtlahuaca
Puebla,Chignahuapan,Toltempan
Puebla,Chignahuapan,Chignahuapan
Puebla,Chignahuapan,Michac
Puebla,Chignahuapan,Ajolotla
Puebla,Chignahuapan,Cuautelolulco
Puebla,Chignahuapan,Loma Alta
Puebla,Chignahuapan,San Miguel Lastiri
Puebla,Chignahuapan,Teotlalpan
Puebla,Chignahuapan,Tzitla
Puebla,Chignahuapan,Cruz Colorada
Puebla,Chignahuapan,Ocojala
Puebla,Chignahuapan,Cañada de Piedras
Puebla,Chignahuapan,San Francisco Terrerillos
Puebla,Chignahuapan,Peñuelas o Pueblo Nuevo
Puebla,Chignahuapan,3 Cabezas
Puebla,Chignahuapan,San Claudio 1
Puebla,Chignahuapan,Acoculco
Puebla,Chignahuapan,Corral Blanco
